月份,当月,同比增长,环比增长,累计,累计-同比增长
2022年06月份,38742.5,3.1,15.48722688,210431.7,-0.7
2022年05月份,33547.0,-6.7,13.7838287,171689.3,-1.5
2022年04月份,29483.1,-11.1,-13.87545972,138142.2,-0.2
2022年03月份,34233.1,-3.5,,108659.1,3.3
2022年02月份,,,,74426.0,6.7
2021年12月份,41268.9,1.7,0.54990839,440823.2,12.5
2021年11月份,41043.2,3.9,1.45671987,399554.3,13.7
2021年10月份,40453.9,4.9,9.8305867,358511.1,14.9
2021年09月份,36833.0,4.4,7.08855092,318057.2,16.4
2021年08月份,34394.9,2.5,-1.51810589,281224.2,18.1
2021年07月份,34925.1,8.5,-7.07900324,246829.4,20.7
2021年06月份,37585.8,12.1,4.5644608,211904.3,23.0
2021年05月份,35945.1,12.4,8.42317043,174318.5,25.7
2021年04月份,33152.6,17.7,-6.5705485,138373.4,29.6
2021年03月份,35484.1,34.2,,105220.8,33.9
2021年02月份,,,,69736.8,33.8
2020年12月份,40566.0,4.6,2.6618279,391980.6,-3.9
2020年11月份,39514.2,5.0,2.43075447,351414.7,-4.8
2020年10月份,38576.5,4.3,9.29827991,311900.5,-5.9
2020年09月份,35294.7,3.3,5.13574378,273324.0,-7.2
2020年08月份,33570.6,0.5,4.24842792,238029.4,-8.6
2020年07月份,32202.5,-1.1,-3.94739589,204458.7,-9.9
2020年06月份,33525.9,-1.8,4.85756643,172256.2,-11.4
2020年05月份,31972.8,-2.8,13.46804932,138730.3,-13.5
2020年04月份,28177.8,-7.5,6.53272791,106757.5,-16.2
2020年03月份,26449.9,-15.8,,78579.7,-19.0
2020年02月份,,,,52129.8,-20.5
2019年12月份,38776.7,8.0,1.79268017,411649.0,8.0
2019年11月份,38093.8,8.0,-0.02755595,372872.3,8.0
2019年10月份,38104.3,7.2,10.46357577,334778.5,8.1
2019年09月份,34494.9,7.8,1.76597446,296674.2,8.2
2019年08月份,33896.3,7.5,2.4884121,262179.3,8.2
2019年07月份,33073.3,7.6,-2.37557596,228282.9,8.3
2019年06月份,33878.1,9.8,2.79890884,195209.7,8.4
2019年05月份,32955.7,8.6,7.74731005,161331.6,8.1
2019年04月份,30586.1,7.2,-3.59204052,128375.8,8.0
2019年03月份,31725.7,8.7,,97789.7,8.3
2019年02月份,,,,66064.0,8.2
2018年12月份,35893.5,8.2,1.79751955,380986.9,9.0
2018年11月份,35259.7,8.1,-0.77305372,345093.4,9.1
2018年10月份,35534.4,8.6,11.02626432,309833.7,9.2
2018年09月份,32005.4,9.2,1.46818716,274299.3,9.3
2018年08月份,31542.3,9.0,2.63098813,242293.9,9.3
2018年07月份,30733.7,8.8,-0.34985215,210751.6,9.3
2018年06月份,30841.6,9.0,1.5893093,180017.9,9.4
2018年05月份,30359.1,8.5,6.36678007,149176.4,9.5
2018年04月份,28541.9,9.4,-2.23233859,118817.3,9.7
2018年03月份,29193.6,10.1,,90275.4,9.8
2018年02月份,,,,61081.8,9.7
2017年12月份,34734.1,9.4,1.8350426,366261.6,10.2
2017年11月份,34108.2,10.2,-0.38754822,331527.5,10.3
2017年10月份,34240.9,10.0,10.91858518,297419.4,10.3
2017年09月份,30870.3,10.3,1.7824113,263178.4,10.4
2017年08月份,30329.7,10.1,2.43128964,232308.2,10.4
2017年07月份,29609.8,10.4,-0.66358915,201978.5,10.4
2017年06月份,29807.6,11.0,1.18265262,172368.7,10.4
2017年05月份,29459.2,10.7,7.99420789,142561.1,10.3
2017年04月份,27278.5,10.7,-2.10022359,113101.9,10.2
2017年03月份,27863.7,10.9,,85823.4,10.0
2017年02月份,,,,57959.7,9.5
2016年12月份,31757.0,10.9,2.57925933,332316.0,10.4
2016年11月份,30958.5,10.8,-0.51640145,300559.5,10.4
2016年10月份,31119.2,10.0,11.23375416,269601.0,10.3
2016年09月份,27976.4,10.7,1.58607968,238481.8,10.4
2016年08月份,27539.6,10.6,2.6547485,210505.4,10.3
2016年07月份,26827.4,10.2,-0.11170106,182965.8,10.3
2016年06月份,26857.4,10.6,0.92707069,156138.3,10.3
2016年05月份,26610.7,10.0,7.97255516,129280.9,10.2
2016年04月份,24645.8,10.1,-1.86468956,102670.2,10.3
2016年03月份,25114.1,10.5,,78024.4,10.3
2016年02月份,,,,52910.3,10.2
2015年12月份,28634.6,11.1,2.49594628,300930.8,10.7
2015年11月份,27937.3,11.2,-1.20796778,272296.1,10.6
2015年10月份,28278.9,11.0,11.90434734,244358.8,10.6
2015年09月份,25270.6,10.9,1.51526107,216079.9,10.5
2015年08月份,24893.4,10.8,2.27866616,190809.3,10.5
2015年07月份,24338.8,10.5,0.24093607,165915.9,10.4
2015年06月份,24280.3,10.6,0.35338172,141577.1,10.4
2015年05月份,24194.8,10.1,8.07667052,117296.9,10.4
2015年04月份,22386.7,10.0,-1.47913109,93102.0,10.4
2015年03月份,22722.8,10.2,,70715.3,10.6
2015年02月份,,,,47992.5,10.7
2014年12月份,25801.3,11.9,9.91109578,262394.1,12.0
2014年11月份,23474.7,11.7,-2.05489169,236592.8,12.0
2014年10月份,23967.2,11.5,4.01347082,213118.1,12.0
2014年09月份,23042.4,11.6,9.03051495,189150.8,12.0
2014年08月份,21133.9,11.9,1.72364,166108.4,12.1
2014年07月份,20775.8,12.2,-1.84537758,144974.5,12.1
2014年06月份,21166.4,12.4,-0.39247428,124198.7,12.1
2014年05月份,21249.8,12.5,7.8604349,103032.2,12.1
2014年04月份,19701.2,11.9,-0.50200499,81782.4,12.0
2014年03月份,19800.6,12.2,,62081.2,12.0
2014年02月份,,,,42280.7,11.8
2013年12月份,23059.7,13.6,9.74590589,234380.0,13.1
2013年11月份,21011.9,13.7,-2.23067009,211320.2,13.0
2013年10月份,21491.3,13.3,4.05746297,190308.3,13.0
2013年09月份,20653.3,13.3,9.35656723,168817.0,12.9
2013年08月份,18886.2,13.4,2.01477864,148163.7,12.8
2013年07月份,18513.2,13.2,-1.66518827,129277.5,12.8
2013年06月份,18826.7,13.3,-0.31557266,110764.3,12.7
2013年05月份,18886.3,12.9,7.30669364,91937.6,12.6
2013年04月份,17600.3,12.8,-0.23184364,73051.3,12.5
2013年03月份,17641.2,12.6,,55451.0,12.4
2013年02月份,,,,37809.8,12.3
2012年12月份,20334.2,15.2,10.05320214,207166.7,14.3
2012年11月份,18476.7,14.9,-2.41420106,186832.5,14.2
2012年10月份,18933.8,14.5,3.88004345,168355.8,14.1
2012年09月份,18226.6,14.2,9.41058533,149422.0,14.1
2012年08月份,16658.9,13.2,2.10850204,131195.4,14.1
2012年07月份,16314.9,13.1,-1.6279869,114536.5,14.2
2012年06月份,16584.9,13.7,-0.77715557,98221.6,14.4
2012年05月份,16714.8,13.8,7.12486621,81636.7,14.5
2012年04月份,15603.1,14.1,-0.30095462,64921.9,14.7
2012年03月份,15650.2,15.2,,49318.8,14.8
2012年02月份,,,,33668.6,14.7
2011年12月份,17739.7,18.1,9.98704189,181225.8,17.1
2011年11月份,16128.9,17.3,-2.52320747,163486.1,17.0
2011年10月份,16546.4,17.2,4.29433158,147357.2,17.0
2011年09月份,15865.1,17.7,7.88915335,130810.8,17.0
2011年08月份,14705.0,17.0,2.0613548,114945.7,16.9
2011年07月份,14408.0,17.2,-1.07860571,100240.7,16.8
2011年06月份,14565.1,17.7,-0.89611344,85832.7,16.8
2011年05月份,14696.8,16.9,7.67675288,71267.6,16.6
2011年04月份,13649.0,17.1,0.44892552,56570.8,16.5
2011年03月份,13588.0,17.4,-1.31526389,42921.8,16.3
2011年02月份,13769.1,11.6,-9.70489868,29018.1,15.8
2011年01月份,15249.0,19.9,-0.52513128,15249.0,19.9
2010年12月份,15329.5,19.1,10.19775859,154553.7,18.4
2010年11月份,13910.9,18.7,-2.61746752,139224.2,18.4
2010年10月份,14284.8,18.6,5.52801684,125313.3,18.3
2010年09月份,13536.5,18.8,7.69065538,111028.5,18.3
2010年08月份,12569.8,18.4,2.58716375,97492.0,18.2
2010年07月份,12252.8,17.9,-0.62530921,84922.2,18.2
2010年06月份,12329.9,18.3,-1.00521072,72669.4,18.2
2010年05月份,12455.1,18.7,8.2073603,60339.5,18.2
2010年04月份,11510.4,18.5,1.66671083,47884.4,18.1
2010年03月份,11321.7,18.0,-8.20888262,36374.0,17.9
2010年02月份,12334.2,22.1,-3.01853264,25052.3,17.9
2010年01月份,12718.1,14.0,0.85725615,12718.1,14.0
2009年12月份,12610.0,17.5,11.20910133,125342.7,15.5
2009年11月份,11339.0,15.8,-3.23103707,112732.7,15.3
2009年10月份,11717.6,16.2,7.37482589,101393.7,15.3
2009年09月份,10912.8,15.5,7.88089683,89676.1,15.1
2009年08月份,10115.6,15.4,1.80244553,78763.3,15.1
2009年07月份,9936.5,15.2,-0.05129959,68647.7,15.0
2009年06月份,9941.6,15.0,-0.86554186,58711.2,15.0
2009年05月份,10028.4,15.2,7.33367583,48769.6,15.0
2009年04月份,9343.2,14.8,0.27474886,38741.2,15.0
2009年03月份,9317.6,14.7,-0.06649649,29398.0,15.0
2009年02月份,9323.8,11.6,-13.32019411,20080.4,15.2
2009年01月份,10756.6,18.5,0.26191919,10756.6,18.5
2008年12月份,10728.5,19.0,9.57735834,108487.7,21.6
2008年11月份,9790.8,20.8,-2.89505787,97759.2,21.9
2008年10月份,10082.7,22.0,6.73476949,87968.4,22.0
2008年09月份,9446.5,23.2,7.74205322,77885.7,22.0
2008年08月份,8767.7,23.2,1.60972557,68439.2,21.9
2008年07月份,8628.8,23.3,-0.15274242,59671.5,21.7
2008年06月份,8642.0,23.0,-0.70661228,51042.7,21.4
2008年05月份,8703.5,21.6,6.89633997,42400.7,21.1
2008年04月份,8142.0,22.0,0.23143589,33697.2,21.0
2008年03月份,8123.2,21.5,-2.77089542,25555.2,20.6
2008年02月份,8354.7,19.1,-7.96051689,17432.0,20.2
2008年01月份,9077.3,21.2,0.68771977,9077.3,21.2
